ID,Category,Mode,Context_Preview,LLM_Output,Faith
1,text_only,standard,"1.1 多传感器数据融合基本描述 数据融合是一个多级、多层面的数据处理过程,主要完成对来自多个信息源的数据进行 自动检测、关联、相关及估计的融合处理“。数据融合是一个多学科交叉的研究领域,有 些学科相",数据融合是一个多级、多层面的数据处理过程，主要完成对来自多个信息源的数据进行自动检测、关联、相关及估计的融合处理。这种处理过程涉及到对不同传感器提供的数据进行多层次的综合分析和整合。,5.0
7,cross_segment_reasoning,standard,"[5] CHENH,KIRUBARAJANT,BAR-SHAIOMY.Peformancelimitsof rack-to-tack fusio verus centralied estiation:",相对于集中式融合，分布式融合结构的主要优点包括：  1. **通信开销小**：分布式融合减少了需要传输的数据量，因此通信开销相对较小。 2. **存储容量小**：由于不需要将大量数据传送到融合中心，所以融合中心所需存储空间也相应减少。 3. **灵活性增强**：每个传感器可以独立处理自身的信息，并将其,1.0
31,formula_dependent,standard,"(X(k+1)=p(k+1,k)X(k)+U(k)a+W(k), (6.13) (Z(k)=H(k)X(k)+V(k) 设N是雷达采样周期△r与红外测量器的采样周△T之比,即N=Ar/A7。设雷达跟际",卡尔曼滤波器的状态更新方程（又称为状态预测方程）完整的数学表达式如下：  \[ \hat{x}_{k} = A\hat{x}_{k-1} + Bu_{k-1} \] \[ \hat{P}_{k} = AH_k H_k^T + Q \]  其中： - \( \hat{x}_k \) 是,100.0
34,formula_dependent,standard,开始 边缘检测 提取轮廊 读取图像 图像预处理 在空间域进行 在时域进行信 结束 得到结果 证据收集 信息融合 息融合 图4.3 学生行为分析与推理决策流程图 4.4.1 基本概率赋值的获取 在运用D,"D-S理论中用于表示基本概率赋值向目标全集映射的规范化数学形式是：  \[ \text{P}(H | M_1, M_2, ..., M_n) = \frac{\sum_{i=1}^{n} P(M_i | H) P(H)}{\sum_{i=1}^{n} P(M_i | H)",1.0
1,text_only,mtfc_v1,"1.1 多传感器数据融合基本描述 数据融合是一个多级、多层面的数据处理过程,主要完成对来自多个信息源的数据进行 自动检测、关联、相关及估计的融合处理“。数据融合是一个多学科交叉的研究领域,有 些学科相",数据融合是一个多级、多层面的数据处理过程，主要完成对来自多个信息源的数据进行自动检测、关联、相关及估计的融合处理。数据融合是多学科交叉的研究领域，既有相对成熟的学科（如贝叶斯推理、多传感器数据采集、多目标跟踪方法等），也有仍在不断探索和完善之中的学科（如智能化方法、启发式推理,5.0
7,cross_segment_reasoning,mtfc_v1,"2.1.1 集中式融合结构 集中式融合是将所有的传感器获得的测量信息,直接输送到中央处理单元进行统一处 理。例如,在便用雷达和红外等多类检测设备(传感器)对运动日标进行跟际的过程种 其跟际算法多数用的",相对于集中式融合，分布式融合结构的优点包括：  1. **通信开销小**：分布式融合减少了通信开销，因为数据不需要从各个传感器传输到中央处理单元，而是先由各传感器自己估计并发送局部参数，再由融合中心进行综合。     2. **融合中心计算机所需存储容量小**：由于数据不再需要传输到中央处理单元,1.0
31,formula_dependent,mtfc_v1,"X(t)=AX(t)+W(t) (2.1) (蒙(t)=HX(t)+V(t) 其中,A表示状态转移矩阵;日表示状态观测矩阵;W(4)表示状态噪声;V(1)表示噪声 根据卡尔曼滤波公式,则可以获得被跟踪",卡尔曼滤波器的状态更新方程（又称为状态预测方程）完整的数学表达式如下：  \[ \mathbf{X}(k) = A\mathbf{X}(k-1) + B\mathbf{U}(k) + W(k) \]  其中： - \( \mathbf{X}(k) \) 是当前时刻的状态向量,0.0
34,formula_dependent,mtfc_v1,开始 边缘检测 提取轮廊 读取图像 图像预处理 在空间域进行 在时域进行信 结束 得到结果 证据收集 信息融合 息融合 图4.3 学生行为分析与推理决策流程图 4.4.1 基本概率赋值的获取 在运用D,D-S理论中用于表示基本概率赋值向目标全集映射的规范化数学形式是式（4.25）：  \[ \text{面积数值} = \frac{\sum_{i=1}^{n}(X_i Y_i)}{\sum_{i=1}^{n} X_i^2 + \sum_{j=1}^{m} Y,0.0
1,text_only,mtfc_v2,"1.1 多传感器数据融合基本描述 数据融合是一个多级、多层面的数据处理过程,主要完成对来自多个信息源的数据进行 自动检测、关联、相关及估计的融合处理“。数据融合是一个多学科交叉的研究领域,有 些学科相",数据融合是一个多级、多层面的数据处理过程，主要完成对来自多个信息源的数据进行自动检测、关联、相关及估计的融合处理。这个过程涉及不同信息层次上的数据融合，包括数据层（像素级）、特征层和决策层。数据融合的关键特性是它处理的信息形式更为复杂，并且可以在不同的信息层次上出现。这种处理方法与,100.0
7,cross_segment_reasoning,mtfc_v2,"2.1.1 集中式融合结构 集中式融合是将所有的传感器获得的测量信息,直接输送到中央处理单元进行统一处 理。例如,在便用雷达和红外等多类检测设备(传感器)对运动日标进行跟际的过程种 其跟际算法多数用的",相对于集中式融合，分布式融合结构的优点包括：  1. **通信开销小**：分布式融合不需要将所有传感器的数据一次性传输到一个中心处理器，而是分步骤处理，减少了通信开销。 2. **存储容量小**：由于不需要将大量数据存储在单一位置，因此分布式融合所需的数据存储空间较小。 3. **灵活性高**：每个传感器,1.0
