Question_ID,Type,Quality,Chunk_Mode,Retrieved_Evidence(Top1),LLM_Output,Score_Pack
31,formula_extraction,degraded,standard,"有E[W(k-1)Y(h-1)]=0,E[V(h-1)Y(h≈1)]=0式(2.11)可以化简为P(k/k)=[I-K(k)H]P(k/k-1)[I=K(k)H]T+K(k)R(k)K'(k)(2.1",卡尔曼滤波器的状态更新方程（又称为状态预测方程）的完整数学表达式如下：  状态预测估计为： \[ X(k/k-1) = A X(k-1/k-1) \]  其中，\( X(k/k-1) \) 是状态预测估计值，\( A \) 是状态转移矩阵，\( X(k-1/k,H@5=0|MRR=0.00|Faith=100%|Halluc=0%
32,symbol_reasoning,degraded,standard,"有E[W(k-1)Y(h-1)]=0,E[V(h-1)Y(h≈1)]=0式(2.11)可以化简为P(k/k)=[I-K(k)H]P(k/k-1)[I=K(k)H]T+K(k)R(k)K'(k)(2.1",在卡尔曼滤波的递推公式中，增益矩阵表达式中用来代表量测误差协方差矩阵的是由大写字母R构成的数学符号。具体表达式为：\[ K(k) = P(k/k-1)H^T[R(k) + HP(k/k-1)H^T]^{-1} \] 其中，\(,H@5=0|MRR=0.00|Faith=100%|Halluc=0%
33,symbol_reasoning,degraded,standard,"Dempster合成规则4。2。3Dempster合成规则(Dempster’scombinationalmle)也称证据合成公式,其定义如下对于VAcO,0上的两个mass函数m,与m,的Demps",在Dempster合成规则中，K 是归一化常数，它用于确保合成后的质量函数仍然是一个有效的质量函数，即满足质量函数的规范条件。具体来说，K 的值是通过公式中的分子部分计算得出的，而分母部分 \(1 - K\) 则确保了最终的质量函数之和为1。  K 的值反映了两个质量,H@5=0|MRR=0.00|Faith=100%|Halluc=0%
34,formula_extraction,degraded,standard,"44左顾右盼次数+1a取X<X山dox轴坐标值(4.23)其他埋头次数+0.5,端坐次数+0.5埋头次数+1Y>Ythreshold1或 Y<Yteshold2y轴坐标值(4.24)(其他。左顾右盼次",抱歉无法解答  背景信息中并未明确给出D-S理论中用于表示基本概率赋值向目标全集映射的规范化数学形式的具体表达式。提供的信息主要集中在基本概率赋值的概念、获取方法以及应用实例上，并未涉及其数学形式的详细描述。,H@5=0|MRR=0.00|Faith=100%|Halluc=0%
31,formula_extraction,degraded,mtfc,"2.3 多传感器数据融合中的卡尔曼滤波理论...2.3.1 卡尔曼滤波简介...针对传感器信息的跟踪滤波算法,大多数工程技术人员会选用卡尔曼滤波算法。卡尔曼...滤波算法是R.E.Kalman在1960年发表的一","-1);R(h)=21*,(h)。 基于BP神经网络的混合滤波器融合算法可以看作是卡尔曼滤波的一种改进形式,它的 优势在于能够自动适应目标的各种机动变化,提高了滤波精度。... 6.4 本章小结 本章介绍了基于BP神经网络的多传感器数据融合算法,通过对雷达和",H@5=0|MRR=0.00|Faith=0%|Halluc=100%
32,symbol_reasoning,degraded,mtfc,"2.3 多传感器数据融合中的卡尔曼滤波理论...2.3.1 卡尔曼滤波简介...针对传感器信息的跟踪滤波算法,大多数工程技术人员会选用卡尔曼滤波算法。卡尔曼...滤波算法是R.E.Kalman在1960年发表的一","-1);0(k)=21*,(k);R(k)=21*,(k) 图6.5给出了基于BP神经网络的混合滤波器的仿真结果,从图中可以看出,通过引入 BP神经网络进行融合,系统性能得到了明显提升。 图6.5 基于BP神经网络的混合滤波器仿真结果 【问题",H@5=0|MRR=0.00|Faith=0%|Halluc=100%
33,symbol_reasoning,degraded,mtfc,"【⚠️ 强关联数理片段 (MTFC)】...第4章 证据理论算法与数据融合...当对多传感器信息得出的判决不能100%确信时,可以米用贝叶斯方法之外的一种基...于统计学的数据融合算法——证据理论来进行决策推理。","处理不确定性的场合。GEP理 论允许我们把不确定性表示成一个模糊集合,并且允许我们用模糊逻辑来处理不确定的 情况,而模糊逻辑是一种非经典逻辑,它能够处理模糊概念,从而使得GEP理论具有更强 的表达能力。 4.4 证据理论的应用 证据理论被广泛应用于许多领域,如专家系统、信息",H@5=0|MRR=0.00|Faith=0%|Halluc=100%
34,formula_extraction,degraded,mtfc,"【⚠️ 强关联数理片段 (MTFC)】...第4章 证据理论算法与数据融合...当对多传感器信息得出的判决不能100%确信时,可以米用贝叶斯方法之外的一种基...于统计学的数据融合算法——证据理论来进行决策推理。","C) 1-∑ B∈A∩C B∈A∩C m(B)·m?(C) (4.13) 其中,∪表示并,∩表示交,AC表示A与C的交集,AC表示A与C的并集,∑表示求和, m和m分别是两个证据的mass函数,它们的定义域为",H@5=0|MRR=0.00|Faith=0%|Halluc=100%
31,formula_extraction,clean,standard,为中华崛起传播智慧画封底无防伪标均为盗版策划编辑O尚晨上架指导 计算机/人工智能定价:49.O0 元的e封面设计◎及图书信息请关注机工教育微信服务号ISBN 978-7-111-67529-7卡尔曼滤,"卡尔曼滤波器的状态更新方程（又称为状态预测方程）完整的数学表达式为： $$X_k = \Phi_{k,k-1} X_{k-1} + W_{k-1}$$ 其中，$\Phi$ 为状态转移矩阵，$W$ 为带有协方差矩阵的系统噪声序列。",H@5=0|MRR=0.00|Faith=100%|Halluc=0%
32,symbol_reasoning,clean,standard,为中华崛起传播智慧画封底无防伪标均为盗版策划编辑O尚晨上架指导 计算机/人工智能定价:49.O0 元的e封面设计◎及图书信息请关注机工教育微信服务号ISBN 978-7-111-67529-7卡尔曼滤,在卡尔曼滤波的五大核心方程里，增益矩阵表达式中用来代表量测误差协方差矩阵的是大写字母 \( R \) 构成的数学符号。,H@5=0|MRR=0.00|Faith=0%|Halluc=0%
